generatorauthor,aiauthor,travelleddistance
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.693900292918522
Sebastian Asen,Vsevolod Tymofyeyev,12.967674832145644
Sebastian Vogl,Marco Landau,0.0
Sebastian Asen,Vsevolod Tymofyeyev,13.241461240969947
Sebastian Vogl,Vsevolod Tymofyeyev,6.000098152388342
Sebastian Vogl,Marco Landau,7.832713229045123e-05
Sebastian Vogl,Reference AI,0.0004678856344071836
Harish Swaminathan Gopal,Reference AI,116.61188520741726
Sebastian Asen,Vsevolod Tymofyeyev,1.9882701594070433
Harish Swaminathan Gopal,Reference AI,40.86858355899063
Harish Swaminathan Gopal,Marco Landau,0.20925463813423176
Sebastian Vogl,Marco Landau,6.355811027731879e-05
Reference Generator,Reference AI,465.19313375209083
Sebastian Vogl,Vsevolod Tymofyeyev,30.410563106893605
Sebastian Vogl,Reference AI,0.0
Sebastian Vogl,Vsevolod Tymofyeyev,5.974043296726521
Sebastian Vogl,Marco Landau,5.411429155161099e-05
Sebastian Vogl,Reference AI,40.210222496601915
Sebastian Vogl,Vsevolod Tymofyeyev,41.82426566829938
Reference Generator,Reference AI,0.0005066810486199857
Sebastian Asen,Reference AI,268.80658098631443
Sebastian Asen,Vsevolod Tymofyeyev,27.845088885006696
Sebastian Vogl,Vsevolod Tymofyeyev,41.80363218815491
Sebastian Vogl,Marco Landau,7.394523630274255
Sebastian Asen,Reference AI,285.87234432330104
Sebastian Asen,Marco Landau,9.895217441401256
Sebastian Asen,Marco Landau,9.656062231847741
Sebastian Asen,Marco Landau,0.27071715957166304
Harish Swaminathan Gopal,Reference AI,430.81640244135326
Sebastian Vogl,Reference AI,40.65192720509767
Sebastian Vogl,Vsevolod Tymofyeyev,1.0001058842423223
Harish Swaminathan Gopal,Marco Landau,0.2087613082594558
Harish Swaminathan Gopal,Marco Landau,0.2092377040321599
Sebastian Vogl,Vsevolod Tymofyeyev,9.075737085815026
Sebastian Asen,Marco Landau,9.898664046867255
Reference Generator,Vsevolod Tymofyeyev,13.355776003077331
Sebastian Vogl,Reference AI,40.33172392169279
Sebastian Vogl,Reference AI,40.33153532991167
Harish Swaminathan Gopal,Marco Landau,0.20934988491231116
Sebastian Vogl,Marco Landau,7.442119155369259
Sebastian Vogl,Vsevolod Tymofyeyev,10.397816640081357
Reference Generator,Reference AI,372.64970843189604
Sebastian Asen,Vsevolod Tymofyeyev,28.071664099045485
Sebastian Asen,Vsevolod Tymofyeyev,12.965500876819327
Sebastian Vogl,Marco Landau,8.786288911116317
Harish Swaminathan Gopal,Reference AI,224.62032118420083
Sebastian Asen,Marco Landau,9.648369952746098
Sebastian Asen,Marco Landau,9.892709942429066
Sebastian Asen,Marco Landau,9.890194720194527
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.69419856114307
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.9895328016138811
Harish Swaminathan Gopal,Reference AI,439.6945845012897
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6941585368928505
Sebastian Asen,Vsevolod Tymofyeyev,12.965506261257937
Sebastian Asen,Marco Landau,9.891998585866787
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6944507073888497
Sebastian Asen,Vsevolod Tymofyeyev,12.96476491350159
Sebastian Asen,Marco Landau,9.639794728506672
Sebastian Asen,Marco Landau,9.656890600183882
Sebastian Vogl,Vsevolod Tymofyeyev,1.7321602617904117
Harish Swaminathan Gopal,Marco Landau,0.20879288325414933
Sebastian Vogl,Reference AI,30.41057026599255
Sebastian Vogl,Reference AI,0.0004696749161557212
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,1.6941113982020013
Harish Swaminathan Gopal,Vsevolod Tymofyeyev,0.0
Sebastian Asen,Marco Landau,9.896475321872595
Sebastian Vogl,Vsevolod Tymofyeyev,6.000112023816301
Reference Generator,Vsevolod Tymofyeyev,12.641001393871695
